Date,Portfolio,Benchmark
06/30/2022,-0.16,1.24
07/13/2022,-4.49,0.36
07/25/2022,4.06,3.6
08/04/2022,2.43,9.68
08/16/2022,12.57,13.25
08/28/2022,17.83,6.87
09/08/2022,10.52,7.99
09/20/2022,3.51,0.28
10/02/2022,4.46,-2.69
10/12/2022,10.08,-2.86
10/24/2022,15.2,2.01
11/03/2022,16.81,-0.34
11/15/2022,16.67,4.61
11/28/2022,16.69,4.55
12/08/2022,7.45,4.02
12/20/2022,9.97,2.24
01/03/2023,7.71,1.55
01/16/2023,18.33,5.26
01/26/2023,21.86,7.35
02/07/2023,19.99,8.68
02/20/2023,22.72,5.65
03/02/2023,29.43,7.01
03/14/2023,12.5,3.14
03/26/2023,16.34,5.05
04/05/2023,15.11,8.42
04/18/2023,19.77,9.73
04/30/2023,15.18,10.1
05/10/2023,15.84,9.2
05/22/2023,17.42,9.71
06/04/2023,24.47,13.16
06/14/2023,32.73,17.27
06/27/2023,33.75,15.63
07/10/2023,38.75,17.24
07/20/2023,43.27,19.82
08/01/2023,48.07,19.28
08/13/2023,47.95,18.75
08/23/2023,43.27,15.79
09/05/2023,49.91,18.24
09/17/2023,48.51,17.58
09/27/2023,50.01,13.57
10/09/2023,49.06,15.17
10/19/2023,37.11,11.62
10/31/2023,38.97,12.0
11/12/2023,44.92,16.65
11/23/2023,54.48,20.64
12/05/2023,55.2,20.5
12/17/2023,70.64,25.08
12/28/2023,73.22,25.96
01/10/2024,74.93,26.26
01/23/2024,82.89,28.66
02/04/2024,99.95,30.55
02/14/2024,121.44,33.05
02/27/2024,117.07,34.18
03/10/2024,124.91,35.51
03/20/2024,132.48,38.42
04/02/2024,130.93,37.68
04/14/2024,116.82,33.7
04/24/2024,117.17,33.44
05/06/2024,124.61,37.06
05/16/2024,130.98,40.31
05/29/2024,131.43,38.5
06/10/2024,123.58,42.29
06/23/2024,124.0,43.83
07/04/2024,127.76,46.98
07/16/2024,129.91,47.58
07/28/2024,126.28,44.35
08/07/2024,114.46,40.61
08/19/2024,125.5,48.02
08/29/2024,127.43,49.34
09/11/2024,120.47,48.13
09/23/2024,142.7,51.37
10/03/2024,145.31,51.82
10/15/2024,160.09,54.28
